Date,Open,High,Low,Close,Adj Close,Volume,Open_brl,High_brl,Low_brl,Close_brl,Adj Close_brl,Volume_brl,Open_bvsp,High_bvsp,Low_bvsp,Close_bvsp,Adj Close_bvsp,Volume_bvsp,Open_petroleo,High_petroleo,Low_petroleo,Adj Close_petroleo,Volume_petroleo,Open_ouro,High_ouro,Low_ouro,Adj Close_ouro,Volume_ouro,Adj Close_goll4
2020-03-02,4.4413,4.5026,4.4413,4.4413,4.4413,0,4.4413,4.5026,4.4413,4.4413,4.4413,0,104260.0,107220.0,103779.0,106625.0,106625.0,8858400,43.7,47.56,43.32,46.75,949470.0,1592.8,1612.1,1576.3,1594.8,443530.0,26.110001
2020-03-03,4.4725,4.5071,4.448661,4.4724,4.4724,0,4.4725,4.5071,4.448661,4.4724,4.4724,0,106630.0,108804.0,104405.0,105537.0,105537.0,9385600,47.72,48.66,46.47,47.18,1010000.0,1586.0,1650.5,1585.9,1644.4,466530.0,25.120001
2020-03-04,4.5132,4.5558,4.501889,4.5132,4.5132,0,4.5132,4.5558,4.501889,4.5132,4.5132,0,105540.0,107809.0,105042.0,107224.0,107224.0,8410500,46.94,48.41,46.65,46.78,745860.0,1640.1,1654.3,1632.6,1643.0,313340.0,24.809999
2020-03-05,4.5834,4.6533,4.580981,4.5834,4.5834,0,4.5834,4.6533,4.580981,4.5834,4.5834,0,107217.0,107217.0,100536.0,102233.0,102233.0,8598600,47.13,47.57,45.65,45.9,704590.0,1638.2,1675.5,1635.6,1668.0,363000.0,20.65
2020-03-06,4.604031,4.6691,4.602803,4.6062,4.6062,0,4.604031,4.6691,4.602803,4.6062,4.6062,0,102231.0,102231.0,96886.0,97997.0,97997.0,11864200,46.09,46.38,41.05,41.28,1280000.0,1673.1,1692.8,1642.4,1672.4,659630.0,21.049999
2020-03-09,4.6255,4.7889,4.62118,4.5898,4.5898,0,4.6255,4.7889,4.62118,4.5898,4.5898,0,97982.0,97982.0,85880.0,86067.0,86067.0,14645500,32.87,34.88,27.34,31.13,1770000.0,1692.6,1704.3,1658.0,1675.7,504160.0,17.379999
2020-03-10,4.723,4.7249,4.6552,4.7229,4.7229,0,4.723,4.7249,4.6552,4.7229,4.7229,0,86071.0,92230.0,86071.0,92214.0,92214.0,13531700,30.37,35.02,30.2,34.36,1060000.0,1679.6,1681.3,1641.1,1660.3,385480.0,18.32
2020-03-11,4.6425,4.6831,4.6152,4.6421,4.6421,0,4.6425,4.6831,4.6152,4.6421,4.6421,0,92202.0,92202.0,80796.0,85171.0,85171.0,11786900,34.62,36.35,32.56,32.98,874650.0,1649.3,1671.8,1632.4,1642.3,404350.0,15.65
2020-03-12,4.8134,5.0157,4.810665,4.8138,4.8138,0,4.8134,5.0157,4.810665,4.8138,4.8138,0,85103.0,85103.0,68488.0,72583.0,72583.0,12008700,33.07,33.63,30.02,31.5,1030000.0,1633.1,1651.0,1560.4,1590.3,605720.0,9.97
2020-03-13,4.7904,4.7914,4.6483,4.7902,4.7902,0,4.7904,4.7914,4.6483,4.7902,4.7902,0,72621.0,83758.0,72621.0,82678.0,82678.0,15766300,30.77,33.87,30.33,31.73,743130.0,1582.7,1597.9,1504.0,1516.7,551050.0,11.17
